id,naslov,cena,velikost,prodajalec,leto,nadstropje
6058035,"LJ. CENTER, SLOMŠKOVA ULICA",155000.0,61.63,Nepremiènine in cenitve Mitnica Uroš Jere s.p.,1968,VP
6059139,"LJ. ŠIŠKA, DRAVLJE, BRILEJEVA",155000.0,76.0,Mikljiè-Hribar Company d.o.o.,1982,6
6059246,LJ. CENTER,155000.0,64.1,Rojal invest d.o.o.,1994,M
6027950,LJ. CENTER,155000.0,50.9,Mernet d.o.o.,1959,4
6029452,LJ. CENTER,155000.0,64.0,DVOREC POSREDNIŠKA HIŠA d.o.o.,1763,2
6061354,"LJ. ŠIŠKA, CELOVŠKA",155000.0,65.1,Makra as Marko Krajner s.p.,1974,2
5824901,"LJ. CENTER, GORNJI TRG",155000.0,65.0,Zasebna ponudba,1994,2
6042550,"LJ. MOSTE, KODELJEVO, Z GARAŽO",155000.0,70.0,Mreža nepremiènin d.o.o.,ni podatka,1
6033218,KODELJEVO,155000.0,69.6,ABC nepremiènine d.o.o.,1946,ni podatka
6012840,"LJ. CENTER, MESTNI TRG",154000.0,45.4,Garant - Gabrijela Smuk s.p.,1800,1
6053715,"LJ. ŠIŠKA, KINO",154000.0,65.0,Fortuna int. d.o.o.,1972,5
6053689,LJ. ŠIŠKA,153800.0,72.1,"Stoja trade, d.o.o., Ljubljana",2009,6
6051972,"LJ. BEŽIGRAD, ATRIJSKO, GLINŠKOVA PLOŠÈAD",153000.0,60.0,Tanal d.o.o.,1980,P
6053089,LJ. ŠIŠKA,152100.0,76.5,"Stoja trade, d.o.o., Ljubljana",2009,5
6045175,"LJ. BEŽIGRAD, GLINŠKOVA PLOŠÈAD",152000.0,60.2,LJUBLJANA NEPREMIÈNINE d.o.o.,1978,4
6048752,LJ. BEŽIGRAD,152000.0,66.5,"Stoja trade, d.o.o., Ljubljana",1978,4
6055565,ÈRNUÈE,152000.0,66.5,Mreža nepremiènin d.o.o.,1978,4
6060574,"LJ. BEŽIGRAD, PLAVA LAGUNA",151000.0,58.2,MESTO NEPREMIÈNIN d.o.o.,1974,3
6010104,TRNOVO,150000.0,53.2,LJUBLJANA NEPREMIÈNINE d.o.o.,1992,2
5995107,DRAVLJE,150000.0,72.7,LJUBLJANA NEPREMIÈNINE d.o.o.,1979,3
6049284,DRAVLJE,150000.0,72.6,Roni nepremiènine d.o.o.,1983,3
6057515,"LJ. BEŽIGRAD, VOJKOVA",150000.0,81.0,"""NOTE"" poslovne storitve Polona Bobera s.p.",1980,19
6060744,"LJ. ŠIŠKA, Z ATRIJEM",150000.0,62.0,Neptun nepremiènine - Borut Vodopivec s.p.,2004,P
6013120,"LJ. CENTER, LJUBLJANICA - ŽITNI MOST",150000.0,73.6,"Zaltis, d.o.o., Ljubljana",1896,M
6044543,"LJ. BEŽIGRAD, FABIANIJEVA",150000.0,61.3,Kristal nepremiènine d.o.o.,1957,4
6060684,LJ. BEŽIGRAD,150000.0,45.0,Zasebna ponudba,1975,1
6023381,"TRNOVO, KOLEZIJA",150000.0,50.0,Zasebna ponudba,1940,VP
6059901,"PRŽAN, 2 KM OD OBVOZNICE, OB GOZDU",149900.0,212.0,Zasebna ponudba,1955,1
6061582,"LJ. BEŽIGRAD, LUŽIŠKO SRBSKA ULICA 7 NOVO",149900.0,56.0,Proint d.o.o.,1962,4
5947540,"RUDNIK, KNEZOV ŠTRADON",149600.0,67.0,"Nepremièninska agencija ""TLORIS"" Miro Toriæ s.p., Poslovna enota",2006,P
6037585,ŠENTVID,149500.0,147.0,"RE/MAX Premium, Celje, Nepremièninska družba, d.o.o.",2004,P
5961693,LJ. ŠIŠKA,149000.0,59.4,Inalbea d.o.o.,2000,P
6027045,"ÈRNUÈE, DUNAJSKA 319",149000.0,79.8,"REMAX Vogal, Nepremièninska družba, d.o.o.",1996,2
6031139,LJ. ŠIŠKA,149000.0,89.0,DVOREC POSREDNIŠKA HIŠA d.o.o.,1966,2 
6061387,LJ. BEŽIGRAD,149000.0,72.8,"STAN nepremiènine d.o.o., Ljubljana",1981,ni podatka
6057511,"BS 3, PUHOVA",149000.0,66.1,MKA nepremiènine d.o.o.,1976,1
6059368,"ŠENTVID, ZVEZDA 12",149000.0,81.0,Heta Asset Resolution d.o.o.,1954,ni podatka
6053691,LJ. ŠIŠKA,148200.0,74.5,"Stoja trade, d.o.o., Ljubljana",2009,4
